id,date,state,county,addr,death,injured,link
2291689,"May 1, 2022",Florida,Orlando,5533 International Dr,0,1,https://www.wftv.com/news/local/orange-county/police-investigate-early-morning-shooting-nightclub-international-drive/2LWSWYBL2VFE7F4PH3MN7RXNKM/
2291685,"May 1, 2022",Minnesota,Minneapolis,1000 block of 26th Ave SE,0,2,https://twitter.com/MN_CRIME/status/1520682984780840961
2291674,"May 1, 2022",Florida,Jacksonville,7304 Lem Turner Rd,1,0,https://www.news4jax.com/news/local/2022/05/01/woman-gunned-down-next-to-gas-pump-on-lem-turner-road/
2291672,"May 1, 2022",Florida,Jacksonville,4200 Moncrief Rd W,0,1,https://www.firstcoastnews.com/article/news/crime/april-30-crime/77-58f45730-e2c4-421a-aff5-257a8085ef36
2291665,"May 1, 2022",Illinois,Chicago,3900 block of W North Ave,0,2,https://home.chicagopolice.org/media_incident/3900-block-of-w-north-ave-on-may-1-2022-at-approx-414-a-m-25th-district/
2291662,"May 1, 2022",Illinois,Chicago,4400 block of N Central Pk,0,1,https://home.chicagopolice.org/media_incident/4400-block-of-n-central-park-on-may-01-2022-at-approx-220-am-17th-district/
2291660,"May 1, 2022",Illinois,Chicago,300 block of W 64th St,0,1,https://home.chicagopolice.org/media_incident/300-block-of-w-64th-st-on-may-01-2022-at-approx-1-120-am-7th-district/
2291654,"May 1, 2022",Illinois,Chicago,100 block of E 23rd St,0,1,https://home.chicagopolice.org/media_incident/100-block-of-e-23rd-st-on-may-01-2022-at-approx-103-am-1st-district/
2291651,"May 1, 2022",Illinois,Chicago,500 block of E 106th St,1,0,https://www.cbsnews.com/chicago/news/woman-shot-killed-during-argument-in-rosemoor-neighborhood/
2291638,"May 1, 2022",Ohio,Columbus,5700 Columbus Square,1,0,https://www.10tv.com/article/news/crime/police-investigating-deadly-shooting-in-north-columbus/530-457fdbe6-7693-45e3-aa0e-41b83f1566f1
2291635,"May 1, 2022",Illinois,Frankfort,7928 Lincoln Hwy,1,0,https://www.fox32chicago.com/news/frankfort-shooting-robber-fatally-shot-by-bar-patron
2291633,"May 1, 2022",Illinois,Chicago,200 block of E Walton Pl,1,0,https://chicago.suntimes.com/crime/2022/5/1/23051819/person-found-shot-to-death-inside-gold-coast-business-police
2291616,"May 1, 2022",Ohio,Cincinnati,E 8th St and Main St,0,1,https://www.wlwt.com/article/shooting-downtown-cincinnati-main-street/39870578
2291612,"May 1, 2022",Kansas,Kansas City,N 6th St and Tenny Ave,1,2,https://www.kmbc.com/article/three-dead-after-two-separate-shootings-in-kansas-city-ks/39870681#
2291578,"May 1, 2022",Ohio,Springfield,Clifton Ave and Rice St,1,4,https://www.whio.com/news/local/breaking-4-injured-after-shooting-springfield/KGCYHJWEI5HHTLZC5BGA2KRWSI/
2291499,"May 1, 2022",California,San Diego,1400 Shelter Island Dr,0,3,https://www.cbs8.com/article/news/local/police-investigating-multiple-people-shot-at-shelter-island/509-941c2a41-b94d-420a-bfea-12671c29d7de
2291427,"April 30, 2022",Illinois,Chicago,1320 E 47th St,1,0,https://www.fox32chicago.com/news/man-killed-in-drive-by-shooting-outside-walgreens-in-chicagos-kenwood-neighborhood
2291410,"April 30, 2022",Arkansas,Little Rock,2704 Schiller St,1,0,https://twitter.com/LRpolice/status/1520448234015141889
2291417,"April 30, 2022",Kentucky,London,665 Laurel River Rd,1,0,https://www.facebook.com/laurelcountysheriff/posts/369009165259272
